Wavenumber	Reflectance
2933.94	0.44242
2932.01	0.44098
2930.08	0.43959
2928.15	0.43826
2926.22	0.43725
2924.30	0.43665
2922.37	0.43621
2920.44	0.43615
2918.51	0.43625
2916.58	0.43654
2914.65	0.43749
2912.72	0.43962
2910.79	0.44175
2908.86	0.44254
2906.93	0.44260
2905.01	0.44276
2903.08	0.44298
2901.15	0.44272
2899.22	0.44205
2897.29	0.44165
2895.36	0.44181
2893.43	0.44173
2891.50	0.44127
2889.58	0.44113
2887.65	0.44054
2885.72	0.43956
2883.79	0.43899
2881.86	0.43850
2879.93	0.43766
2878.00	0.43672
2876.07	0.43601
2874.14	0.43582
2872.21	0.43525
2870.28	0.43435
2868.36	0.43385
2866.43	0.43330
2864.50	0.43219
2862.57	0.43109
2860.64	0.43002
2858.71	0.42869
2856.78	0.42737
2854.85	0.42663
2852.92	0.42582
2851.00	0.42475
2849.07	0.42409
2847.14	0.42474
2845.21	0.42651
2843.28	0.42778
2841.35	0.42778
2839.42	0.42727
2837.49	0.42686
2835.56	0.42679
2833.63	0.42667
2831.71	0.42647
2829.78	0.42601
2827.85	0.42542
2825.92	0.42501
2823.99	0.42470
2822.06	0.42406
2820.13	0.42328
2818.20	0.42289
2816.27	0.42259
2814.35	0.42130
2812.42	0.42026
2810.49	0.42036
2808.56	0.42029
2806.63	0.41959
2804.70	0.41895
2802.77	0.41828
2800.84	0.41753
2798.91	0.41700
2796.99	0.41692
2795.06	0.41646
2793.13	0.41574
2791.20	0.41508
2789.27	0.41449
2787.34	0.41384
2785.41	0.41312
2783.48	0.41231
2781.55	0.41143
2779.62	0.41051
2777.70	0.40974
2775.77	0.40919
2773.84	0.40845
2771.91	0.40740
2769.98	0.40677
2768.05	0.40610
2766.12	0.40506
2764.19	0.40406
2762.26	0.40336
2760.33	0.40253
2758.41	0.40166
2756.48	0.40110
2754.55	0.40059
2752.62	0.39955
2750.69	0.39852
2748.76	0.39776
2746.83	0.39689
2744.90	0.39613
2742.97	0.39528
2741.04	0.39458
2739.12	0.39383
2737.19	0.39283
2735.26	0.39203
2733.33	0.39107
2731.40	0.39031
2729.47	0.38956
2727.54	0.38892
2725.61	0.38843
2723.68	0.38789
2721.76	0.38709
2719.83	0.38613
2717.90	0.38502
2715.97	0.38408
2714.04	0.38345
2712.11	0.38273
2710.18	0.38163
2708.25	0.38081
2706.32	0.37996
2704.39	0.37897
2702.47	0.37799
2700.54	0.37711
2698.61	0.37636
2696.68	0.37530
2694.75	0.37429
2692.82	0.37404
2690.89	0.37367
2688.96	0.37274
2687.03	0.37143
2685.11	0.36996
2683.18	0.36878
2681.25	0.36796
2679.32	0.36716
2677.39	0.36657
2675.46	0.36586
2673.53	0.36493
2671.60	0.36398
2669.67	0.36318
2667.74	0.36228
2665.82	0.36157
2663.89	0.36073
2661.96	0.35949
2660.03	0.35836
2658.10	0.35737
2656.17	0.35639
2654.24	0.35587
2652.31	0.35512
2650.38	0.35401
2648.46	0.35273
2646.53	0.35194
2644.60	0.35140
2642.67	0.35060
2640.74	0.34934
2638.81	0.34820
2636.88	0.34752
2634.95	0.34681
2633.02	0.34569
2631.09	0.34493
2629.17	0.34435
2627.24	0.34349
2625.31	0.34273
2623.38	0.34210
2621.45	0.34125
2619.52	0.34073
