Wavenumber	Reflectance									
3221.354747	0.42734									
3219.425757	0.42761									
3217.496799	0.42787									
3215.567773	0.42827									
3213.638889	0.42881									
3211.709946	0.42927									
3209.78105	0.42974									
3207.852721	0.43047									
3205.923829	0.43108									
3203.994997	0.43134									
3202.066024	0.43161									
3200.137017	0.43208									
3198.208082	0.43254									
3196.27902	0.43314									
3194.350038	0.43374									
3192.420632	0.43421									
3190.491722	0.43455									
3188.562804	0.43481									
3186.633678	0.43515									
3184.704856	0.43548									
3182.775836	0.43601									
3180.847026	0.43675									
3178.917925	0.43708									
3176.98874	0.43741									
3175.059879	0.43802									
3173.130842	0.43862									
3171.201935	0.43908									
3169.272961	0.43948									
3167.344024	0.44002									
3165.41503	0.44048									
3163.486182	0.44075									
3161.557484	0.44115									
3159.628641	0.44182									
3157.699757	0.44229									
3155.770737	0.44282									
3153.841785	0.44335									
3151.912804	0.44362									
3149.9839	0.44389									
3148.054878	0.44449									
3146.125644	0.44496									
3144.196696	0.44522									
3142.267743	0.44582									
3140.338789	0.44636									
3138.409837	0.44662									
3136.480991	0.44696									
3134.552058	0.44742									
3132.622944	0.44796									
3130.69395	0.44843									
3128.76498	0.44869									
3126.835941	0.44903									
3124.907034	0.44943									
3122.977969	0.44989									
3121.049142	0.45036									
3119.120166	0.45063									
3117.191047	0.45103									
3115.262662	0.45156									
3113.333658	0.45216									
3111.404814	0.45250									
3109.475941	0.45290									
3107.546948	0.45330									
3105.617839	0.45363									
3103.689101	0.45383									
3101.759967	0.45430									
3099.830923	0.45490									
3097.901974	0.45516									
3095.972932	0.45550									
3094.043993	0.45590									
3092.114971	0.45637									
3090.18606	0.45677									
3088.257075	0.45697									
3086.328211	0.45717									
3084.398805	0.45777									
3082.470005	0.45810									
3080.540864	0.45850									
3078.611956	0.45877									
3076.68319	0.45910									
3074.754098	0.45970									
3072.825157	0.45997									
3070.896183	0.46030									
3068.967558	0.46070									
3067.038531	0.46104									
3065.109673	0.46150									
3063.180706	0.46190									
3061.251729	0.46217									
3059.322746	0.46257									
3057.393763	0.46304									
3055.464783	0.46324									
3053.535718	0.46357									
3051.606666	0.46411									
3049.677632	0.46431									
3047.748806	0.46437									
3045.819821	0.46471									
3043.89096	0.46511									
3041.961949	0.46537									
3040.032978	0.46564									
3038.104699	0.46584									
3036.17573	0.46618									
3034.246816	0.46658									
3032.31796	0.46671									
3030.388891	0.46684									
3028.459891	0.46698									
3026.530964	0.46698									
3024.602022	0.46718									
3022.672797	0.46738									
3020.743841	0.46751									
3018.814885	0.46758									
3016.886115	0.46764									
3014.957081	0.46784									
3013.027971	0.46798									
3011.099152	0.46798									
3009.170266	0.46811									
3007.240774	0.46818									
3005.311859	0.46824									
3003.3828	0.46798									
3001.453874	0.46764									
2999.524815	0.46724									
2997.595988	0.46658									
2995.666948	0.46557									
2993.738058	0.46424									
2991.809771	0.46271									
2989.880749	0.46104									
2987.951891	0.45977									
2986.022934	0.45890									
2984.093973	0.45850									
2982.165102	0.45857									
2980.236058	0.45883									
2978.307113	0.45950									
2976.377651	0.46004									
2974.448653	0.46037									
2972.519857	0.46090									
2970.590824	0.46130									
2968.661914	0.46144									
2966.732867	0.46157									
2964.803952	0.46177									
2962.875086	0.46197									
2960.945572	0.46224									
2959.016643	0.46244									
2957.087515	0.46264									
2955.158717	0.46297									
2953.229818	0.46331									
2951.300821	0.46371									
2949.371821	0.46397									
2947.442821	0.46437									
2945.514694	0.46457									
2943.585622	0.46464									
2941.656826	0.46471									
2939.72779	0.46477									
2937.798866	0.46491									
2935.8698	0.46477									
2933.940855	0.46484									
2932.011864	0.46491									
2930.082832	0.46504									
2928.153851	0.46537									
2926.224753	0.46571									
2924.295972	0.46618									
2922.366914	0.46671									
2920.437926	0.46724									
2918.509012	0.46798									
2916.580008	0.46871									
2914.651003	0.46911									
2912.721834	0.46931									
2910.793014	0.46958									
2908.863954	0.46991									
2906.934999	0.47025									
2905.006154	0.47038									
2903.077169	0.47045									
2901.148219	0.47051									
2899.219646	0.47065									
2897.290697	0.47078									
2895.361882	0.47071									
2893.432787	0.47045									
2891.50392	0.47025									
2889.575035	0.46958									
2887.645969	0.46871									
2885.717063	0.46758									
2883.787488	0.46618									
2881.858582	0.46464									
2879.929684	0.46311									
2878.000798	0.46204									
